symbol,annualholdingsturnover,enterprisetorevenue,beta3year,profitmargins,enterprisetoebitda,52 week change,morningstarriskrating,forwardeps,revenuequarterlygrowth,sharesoutstanding,fundinceptiondate,annualreportexpenseratio,totalassets,bookvalue,shareshort,sharespercentsharesout,fundfamily,lastfiscalyearend,heldpercentinstitutions,netincomeetocommon,trailingeps,lastdividendvalue,sand52weekchange,pricetobook,heldpercentinsiders,nextfiscalyearend,yield,mostrecentquarter,shortratio,sharesshortpreviousmonthdate,floatshares,beta,enterprisevalue,pricehint,threeyearaveragereturn,lastsplitdate,lastsplitfactor,legaltype,morningstaroverallrating,earningsquarterlygrowth,pricetosalestrailing12month,dateshortinterest,pegratio,ytdreturn,forwardpe,maxage,lastcapgain,shortpercentoffloat,sharesshortpriormonth,impliedsharesoutstanding,category,5yearaveragereturn
BA,None,2.78,None,-0.13748,,-0.022316635,None,2.36,None,595982976,-,None,None,-29.715,8330242,0.014,None,1640908800,0.58201003,-8444000256,-8.285,2.055,-0.123556376,None,0.00092,1672444800,None,1664496000,1.23,11/30/2022,551504966,1.396581,1.71E+11,2,None,6/9/1997,2:01,None,None,None,None,1672358400,-0.25,None,88.733055,1,None,0.014,8738707,,None,None
MCD,None,10.38,None,0.25415,,0.05100143,None,10.51,None,732424000,-,None,None,-8.965,6403299,0.0087,None,1640908800,0.70155996,5912800256,8,1.52,-0.123556376,None,0.00165,1672444800,None,1664496000,2.41,11/30/2022,731398499,0.649808,2.41E+11,2,None,3/8/1999,2:01,None,None,-0.078,None,1672358400,4.1,None,25.313036,1,None,0.0088,6032460,,None,None
HD,None,2.398,None,0.10868,,-0.07406032,None,16.89,None,1019190016,-,None,None,1.273,13220459,0.012999999,None,1643500800,0.71439004,17095000064,16.59,1.9,-0.123556376,254.27338,0.00078,1675036800,None,1667088000,3.13,11/30/2022,1018024150,0.948378,3.77E+11,2,None,12/31/1999,3:02,None,None,0.051,None,1672358400,3.97,None,19.164595,1,None,0.012999999,12038413,,None,None
AAPL,None,5.668,None,0.2531,,-0.1781047,None,6.73,None,15836199936,-,None,None,3.178,124024570,0.0078,None,1663977600,0.61131,99802996736,6.11,0.23,-0.123556376,42.545628,0.00072,1695513600,None,1663977600,1.53,11/30/2022,15891255395,1.27241,2.24E+12,2,None,8/31/2020,4:01,None,None,0.008,None,1672358400,2.52,None,20.09064,1,None,0.0078,125719918,,None,None
AMGN,None,6.392,None,0.25959,,0.15504587,None,18.73,None,533579008,-,None,None,6.847,8920457,0.0167,None,1640908800,0.80248,6834999808,12.46,1.94,-0.123556376,38.613262,0.00207,1672444800,None,1664496000,3.16,11/30/2022,532442682,0.659574,1.68E+11,2,None,11/22/1999,2:01,None,None,0.137,None,1672358400,2.46,None,14.115591,1,None,0.0167,9932850,,None,None
V,None,15.683,None,0.5103,,0.023839474,None,9.58,None,1627849984,-,None,None,16.078,30592052,0.014400001,None,1664496000,0.98759,14629999616,7,0.45,-0.123556376,13.649709,0.00138,1696032000,None,1664496000,4.47,11/30/2022,1626617397,0.940704,4.60E+11,2,None,3/19/2015,4:01,None,None,0.099,None,1672358400,1.81,None,22.908142,1,None,0.0188,37415733,,None,None
NKE,None,4.031,None,0.11472999,,-0.114201665,None,3.99,None,1245670016,-,None,None,9.853,13852307,0.0089,None,1653955200,0.83822995,5633999872,3.54,0.34,-0.123556376,12.831625,0.01255,1685491200,None,1669766400,1.45,11/30/2022,1229379367,1.086501,1.98E+11,2,None,12/24/2015,2:01,None,None,-0.004,None,1672358400,6.03,None,31.686716,1,None,0.0143,16188464,,None,None
KO,None,6.951,None,0.23438999,,-0.015473247,None,2.55,None,4324510208,-,None,None,5.274,31468943,0.0073,None,1640908800,0.71448,9925000192,2.28,0.44,-0.123556376,11.340538,0.00669,1672444800,None,1664496000,2.5,11/30/2022,3895218832,0.579351,2.94E+11,2,None,8/13/2012,2:01,None,None,0.143,None,1672358400,4.57,None,23.454903,1,None,0.0073,30224002,,None,None
MSFT,None,8.508,None,0.34366,,-0.21813661,None,11.15,None,7454470144,-,None,None,23.276,38191521,0.0051,None,1656547200,0.73353994,69788999680,9.29,0.68,-0.123556376,10.131037,0.00059,1688083200,None,1664496000,1.32,11/30/2022,7447838663,0.926403,1.73E+12,2,None,2/18/2003,2:01,None,None,-0.144,None,1672358400,1.94,None,21.14888,1,None,0.0051,40445360,,None,None
CAT,None,2.859,None,0.13017,,0.16705906,None,15.3,None,520408992,-,None,None,29.959,8042484,0.0155,None,1640908800,0.70835996,7370999808,13.74,1.2,-0.123556376,8.438867,0.00141,1672444800,None,1664496000,2.73,11/30/2022,519498639,1.101848,1.62E+11,2,None,7/14/2005,2:01,None,None,0.431,None,1672358400,1.2,None,16.524183,1,None,0.0155,8211211,,None,None
