symbol,enterprisetorevenue,profitmargins,52 week change,heldpercentinstitutions,pricetobook,heldpercentinsiders,shortratio,beta,pegratio,shortpercentoffloat
CVX,1.55,0.15048,0.37975872,0.71995,2.159682,0.00081,2.08,1.189396,0.64,0.0084
MRK,5.003,0.25876,0.34724462,0.76502,6.199214,0.00107,1.81,0.393093,1.28,0.0068
CAT,2.859,0.13017,0.16705906,0.70835996,8.438867,0.00141,2.73,1.101848,1.2,0.0155
AMGN,6.392,0.25959,0.15504587,0.80248,38.613262,0.00207,3.16,0.659574,2.46,0.0167
TRV,1.312,0.09255999,0.11169636,0.85005,2.1613955,0.00212,3,0.642483,2.5,0.016
IBM,2.911,0.02085,0.0733068,0.58449,6.323351,0.00089,7.02,0.88106,1.73,0.0328
IBM,2.911,0.02085,0.0733068,0.58449,6.323351,0.00089,7.02,0.88106,1.73,0.0328
MCD,10.38,0.25415,0.05100143,0.70155996,None,0.00165,2.41,0.649808,4.1,0.0088
UNH,1.498,0.062069997,0.028596163,0.89655995,5.537159,0.00466,2.21,0.727938,1.4,0.0068
JNJ,4.7,0.19947,0.027292013,0.70682,5.9550285,0.00093,1.53,0.570631,4.69,0.0038
V,15.683,0.5103,0.023839474,0.98759,13.649709,0.00138,4.47,0.940704,1.81,0.0188
GS,1.181,0.25221002,0.002843976,0.71707,1.1477938,0.00557,2.18,1.418904,-0.95,0.013300001
WMT,0.74,0.014939999,-0.002690852,0.32915002,5.2650466,0.48706,1.96,0.531566,5.48,0.0089
KO,6.951,0.23438999,-0.015473247,0.71448,11.340538,0.00669,2.5,0.579351,4.57,0.0073
DOW,0.887,0.09603,-0.016779125,0.65576,2.207979,0.0013,2.08,1.294099,-1.01,0.013200001
BA,2.78,-0.13748,-0.022316635,0.58201003,None,0.00092,1.23,1.396581,-0.25,0.014
HON,4.234,0.15385,-0.022400916,0.77106005,7.75487,0.00119,2.1,1.134635,3.08,0.0087
AXP,2.519,0.15438,-0.0652498,0.86319,4.6935844,0.00129,2.14,1.158004,2.05,0.0094
HD,2.398,0.10868,-0.07406032,0.71439004,254.27338,0.00078,3.13,0.948378,3.97,0.012999999
JPM,-2.471,0.30805,-0.07510495,0.70744,1.5126209,0.00894,1.73,1.110917,-11,0.0059
PG,4.652,0.18107,-0.09623456,0.65470004,8.023785,0.00124,2.18,0.431461,5.18,0.006
NKE,4.031,0.11472999,-0.114201665,0.83822995,12.831625,0.01255,1.45,1.086501,6.03,0.0143
AAPL,5.668,0.2531,-0.1781047,0.61131,42.545628,0.00072,1.53,1.27241,2.52,0.0078
CSCO,3.496,0.21997,-0.19249314,0.76248,4.778401,0.00083,1.72,0.965817,2,0.0077
MSFT,8.508,0.34366,-0.21813661,0.73353994,10.131037,0.00059,1.32,0.926403,1.94,0.0051
VZ,2.548,0.14222,-0.2514981,0.63691,1.9191436,0.00024,1.31,0.33903,5.09,0.0084
MMM,2.329,0.18913999,-0.29279256,0.68035007,4.8188276,0.0011,4.61,0.986396,-16.78,0.024600001
DIS,2.853,0.03802,-0.3290882,0.64975,1.9013976,0.00112,1.42,1.232996,1.02,0.0112
WBA,0.514,-0.02242,-0.33038735,0.61222,1.4923935,0.17187001,5.62,0.742588,3.55,0.0403
CRM,4.848,0.00918,-0.34758228,0.79890996,2.4286191,0.03249,0.83,1.129403,1.66,0.0106
INTC,1.954,0.19127001,-0.4463874,0.63765997,1.1903483,0.00065,1.93,0.764562,-0.63,0.0176
